"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2019 00:00 - 01.01.2019 00:15","43769","44009"
"01.01.2019 00:15 - 01.01.2019 00:30","43572","43462"
"01.01.2019 00:30 - 01.01.2019 00:45","43025","42935"
"01.01.2019 00:45 - 01.01.2019 01:00","42487","42689"
"01.01.2019 01:00 - 01.01.2019 01:15","41978","42383"
"01.01.2019 01:15 - 01.01.2019 01:30","41481","41880"
"01.01.2019 01:30 - 01.01.2019 01:45","40956","41410"
"01.01.2019 01:45 - 01.01.2019 02:00","40688","40852"
"01.01.2019 02:00 - 01.01.2019 02:15","40384","40568"
"01.01.2019 02:15 - 01.01.2019 02:30","40156","40181"
"01.01.2019 02:30 - 01.01.2019 02:45","40122","39911"
"01.01.2019 02:45 - 01.01.2019 03:00","40088","39680"
"01.01.2019 03:00 - 01.01.2019 03:15","39911","39550"
"01.01.2019 03:15 - 01.01.2019 03:30","39866","39206"
"01.01.2019 03:30 - 01.01.2019 03:45","39936","39178"
"01.01.2019 03:45 - 01.01.2019 04:00","39923","39145"
"01.01.2019 04:00 - 01.01.2019 04:15","40077","39141"
"01.01.2019 04:15 - 01.01.2019 04:30","40235","39076"
"01.01.2019 04:30 - 01.01.2019 04:45","40329","39034"
"01.01.2019 04:45 - 01.01.2019 05:00","40391","38880"
"01.01.2019 05:00 - 01.01.2019 05:15","40666","38897"
"01.01.2019 05:15 - 01.01.2019 05:30","40500","38617"
"01.01.2019 05:30 - 01.01.2019 05:45","40556","38541"
"01.01.2019 05:45 - 01.01.2019 06:00","40474","38227"
"01.01.2019 06:00 - 01.01.2019 06:15","40006","37880"
"01.01.2019 06:15 - 01.01.2019 06:30","40324","37895"
"01.01.2019 06:30 - 01.01.2019 06:45","40564","38060"
"01.01.2019 06:45 - 01.01.2019 07:00","40867","38355"
"01.01.2019 07:00 - 01.01.2019 07:15","41525","38472"
"01.01.2019 07:15 - 01.01.2019 07:30","41872","38695"
"01.01.2019 07:30 - 01.01.2019 07:45","43367","38758"
"01.01.2019 07:45 - 01.01.2019 08:00","44210","39099"
"01.01.2019 08:00 - 01.01.2019 08:15","45432","39151"
"01.01.2019 08:15 - 01.01.2019 08:30","45508","39299"
"01.01.2019 08:30 - 01.01.2019 08:45","45981","39733"
"01.01.2019 08:45 - 01.01.2019 09:00","46523","40118"
"01.01.2019 09:00 - 01.01.2019 09:15","47770","41059"
"01.01.2019 09:15 - 01.01.2019 09:30","48702","41732"
"01.01.2019 09:30 - 01.01.2019 09:45","49191","42522"
"01.01.2019 09:45 - 01.01.2019 10:00","49505","43164"
"01.01.2019 10:00 - 01.01.2019 10:15","50058","43925"
"01.01.2019 10:15 - 01.01.2019 10:30","50685","44538"
"01.01.2019 10:30 - 01.01.2019 10:45","50903","45248"
"01.01.2019 10:45 - 01.01.2019 11:00","51736","45755"
"01.01.2019 11:00 - 01.01.2019 11:15","52116","46800"
"01.01.2019 11:15 - 01.01.2019 11:30","52792","47593"
"01.01.2019 11:30 - 01.01.2019 11:45","53530","48285"
"01.01.2019 11:45 - 01.01.2019 12:00","54019","48463"
"01.01.2019 12:00 - 01.01.2019 12:15","53272","48939"
"01.01.2019 12:15 - 01.01.2019 12:30","53430","49198"
"01.01.2019 12:30 - 01.01.2019 12:45","52745","49129"
"01.01.2019 12:45 - 01.01.2019 13:00","52196","49201"
"01.01.2019 13:00 - 01.01.2019 13:15","51567","48993"
"01.01.2019 13:15 - 01.01.2019 13:30","50919","48750"
"01.01.2019 13:30 - 01.01.2019 13:45","50679","48743"
"01.01.2019 13:45 - 01.01.2019 14:00","49845","48658"
"01.01.2019 14:00 - 01.01.2019 14:15","49755","48691"
"01.01.2019 14:15 - 01.01.2019 14:30","48901","48502"
"01.01.2019 14:30 - 01.01.2019 14:45","49140","48491"
"01.01.2019 14:45 - 01.01.2019 15:00","49448","48430"
"01.01.2019 15:00 - 01.01.2019 15:15","49573","48875"
"01.01.2019 15:15 - 01.01.2019 15:30","48991","48956"
"01.01.2019 15:30 - 01.01.2019 15:45","49223","49044"
"01.01.2019 15:45 - 01.01.2019 16:00","49148","49057"
"01.01.2019 16:00 - 01.01.2019 16:15","49763","49528"
"01.01.2019 16:15 - 01.01.2019 16:30","50689","50078"
"01.01.2019 16:30 - 01.01.2019 16:45","51389","51171"
"01.01.2019 16:45 - 01.01.2019 17:00","51647","52131"
"01.01.2019 17:00 - 01.01.2019 17:15","52960","53251"
"01.01.2019 17:15 - 01.01.2019 17:30","53621","53679"
"01.01.2019 17:30 - 01.01.2019 17:45","54419","54141"
"01.01.2019 17:45 - 01.01.2019 18:00","54430","54502"
"01.01.2019 18:00 - 01.01.2019 18:15","54695","54681"
"01.01.2019 18:15 - 01.01.2019 18:30","54933","54703"
"01.01.2019 18:30 - 01.01.2019 18:45","54783","54655"
"01.01.2019 18:45 - 01.01.2019 19:00","54669","54594"
"01.01.2019 19:00 - 01.01.2019 19:15","54284","54426"
"01.01.2019 19:15 - 01.01.2019 19:30","53696","53936"
"01.01.2019 19:30 - 01.01.2019 19:45","53138","53475"
"01.01.2019 19:45 - 01.01.2019 20:00","52626","52817"
"01.01.2019 20:00 - 01.01.2019 20:15","52110","52233"
"01.01.2019 20:15 - 01.01.2019 20:30","51008","51731"
"01.01.2019 20:30 - 01.01.2019 20:45","50328","51045"
"01.01.2019 20:45 - 01.01.2019 21:00","50048","50413"
"01.01.2019 21:00 - 01.01.2019 21:15","49275","50141"
"01.01.2019 21:15 - 01.01.2019 21:30","49130","49787"
"01.01.2019 21:30 - 01.01.2019 21:45","49810","49593"
"01.01.2019 21:45 - 01.01.2019 22:00","48964","49413"
"01.01.2019 22:00 - 01.01.2019 22:15","49365","49667"
"01.01.2019 22:15 - 01.01.2019 22:30","49039","49022"
"01.01.2019 22:30 - 01.01.2019 22:45","48152","48485"
"01.01.2019 22:45 - 01.01.2019 23:00","47386","47792"
"01.01.2019 23:00 - 01.01.2019 23:15","46354","47096"
"01.01.2019 23:15 - 01.01.2019 23:30","45674","46377"
"01.01.2019 23:30 - 01.01.2019 23:45","44859","45379"
"01.01.2019 23:45 - 02.01.2019 00:00","44388","44825"
"02.01.2019 00:00 - 02.01.2019 00:15","42873","44544"
"02.01.2019 00:15 - 02.01.2019 00:30","42643","43937"
"02.01.2019 00:30 - 02.01.2019 00:45","42345","43343"
"02.01.2019 00:45 - 02.01.2019 01:00","42006","43055"
"02.01.2019 01:00 - 02.01.2019 01:15","41574","42769"
"02.01.2019 01:15 - 02.01.2019 01:30","41290","42165"
"02.01.2019 01:30 - 02.01.2019 01:45","41004","42034"
"02.01.2019 01:45 - 02.01.2019 02:00","40889","41885"
"02.01.2019 02:00 - 02.01.2019 02:15","40448","41999"
"02.01.2019 02:15 - 02.01.2019 02:30","40381","41803"
"02.01.2019 02:30 - 02.01.2019 02:45","40398","41719"
"02.01.2019 02:45 - 02.01.2019 03:00","40497","41708"
"02.01.2019 03:00 - 02.01.2019 03:15","40594","41814"
"02.01.2019 03:15 - 02.01.2019 03:30","40683","42148"
"02.01.2019 03:30 - 02.01.2019 03:45","40868","42552"
"02.01.2019 03:45 - 02.01.2019 04:00","40974","42809"
"02.01.2019 04:00 - 02.01.2019 04:15","41642","43016"
"02.01.2019 04:15 - 02.01.2019 04:30","42073","43373"
"02.01.2019 04:30 - 02.01.2019 04:45","42517","44034"
"02.01.2019 04:45 - 02.01.2019 05:00","42850","44609"
"02.01.2019 05:00 - 02.01.2019 05:15","44210","45367"
"02.01.2019 05:15 - 02.01.2019 05:30","44797","46025"
"02.01.2019 05:30 - 02.01.2019 05:45","46092","47356"
"02.01.2019 05:45 - 02.01.2019 06:00","47590","48836"
"02.01.2019 06:00 - 02.01.2019 06:15","50154","50485"
"02.01.2019 06:15 - 02.01.2019 06:30","52396","52121"
"02.01.2019 06:30 - 02.01.2019 06:45","54111","53405"
"02.01.2019 06:45 - 02.01.2019 07:00","55625","54845"
"02.01.2019 07:00 - 02.01.2019 07:15","57127","56545"
"02.01.2019 07:15 - 02.01.2019 07:30","57859","57671"
"02.01.2019 07:30 - 02.01.2019 07:45","58967","58680"
"02.01.2019 07:45 - 02.01.2019 08:00","59639","59650"
"02.01.2019 08:00 - 02.01.2019 08:15","60214","60878"
"02.01.2019 08:15 - 02.01.2019 08:30","60729","61129"
"02.01.2019 08:30 - 02.01.2019 08:45","60708","61813"
"02.01.2019 08:45 - 02.01.2019 09:00","60680","62237"
"02.01.2019 09:00 - 02.01.2019 09:15","60308","62923"
"02.01.2019 09:15 - 02.01.2019 09:30","60941","63091"
"02.01.2019 09:30 - 02.01.2019 09:45","60965","63668"
"02.01.2019 09:45 - 02.01.2019 10:00","61512","64035"
"02.01.2019 10:00 - 02.01.2019 10:15","61810","64258"
"02.01.2019 10:15 - 02.01.2019 10:30","62234","64289"
"02.01.2019 10:30 - 02.01.2019 10:45","62353","64557"
"02.01.2019 10:45 - 02.01.2019 11:00","62460","64760"
"02.01.2019 11:00 - 02.01.2019 11:15","62922","65108"
"02.01.2019 11:15 - 02.01.2019 11:30","63179","65601"
"02.01.2019 11:30 - 02.01.2019 11:45","63551","66173"
"02.01.2019 11:45 - 02.01.2019 12:00","63403","66142"
"02.01.2019 12:00 - 02.01.2019 12:15","63115","66243"
"02.01.2019 12:15 - 02.01.2019 12:30","63283","66059"
"02.01.2019 12:30 - 02.01.2019 12:45","63085","65963"
"02.01.2019 12:45 - 02.01.2019 13:00","63066","65800"
"02.01.2019 13:00 - 02.01.2019 13:15","62963","65818"
"02.01.2019 13:15 - 02.01.2019 13:30","62865","65470"
"02.01.2019 13:30 - 02.01.2019 13:45","62623","65272"
"02.01.2019 13:45 - 02.01.2019 14:00","61659","64570"
"02.01.2019 14:00 - 02.01.2019 14:15","61335","64498"
"02.01.2019 14:15 - 02.01.2019 14:30","60808","64227"
"02.01.2019 14:30 - 02.01.2019 14:45","60908","64074"
"02.01.2019 14:45 - 02.01.2019 15:00","61352","63671"
"02.01.2019 15:00 - 02.01.2019 15:15","61665","64286"
"02.01.2019 15:15 - 02.01.2019 15:30","60686","64073"
"02.01.2019 15:30 - 02.01.2019 15:45","60638","63895"
"02.01.2019 15:45 - 02.01.2019 16:00","60354","63786"
"02.01.2019 16:00 - 02.01.2019 16:15","60899","64347"
"02.01.2019 16:15 - 02.01.2019 16:30","61535","64457"
"02.01.2019 16:30 - 02.01.2019 16:45","62340","65460"
"02.01.2019 16:45 - 02.01.2019 17:00","62344","66645"
"02.01.2019 17:00 - 02.01.2019 17:15","62862","67877"
"02.01.2019 17:15 - 02.01.2019 17:30","63312","68556"
"02.01.2019 17:30 - 02.01.2019 17:45","63660","68701"
"02.01.2019 17:45 - 02.01.2019 18:00","63654","68907"
"02.01.2019 18:00 - 02.01.2019 18:15","63381","68551"
"02.01.2019 18:15 - 02.01.2019 18:30","63481","68246"
"02.01.2019 18:30 - 02.01.2019 18:45","63656","68181"
"02.01.2019 18:45 - 02.01.2019 19:00","63401","68012"
"02.01.2019 19:00 - 02.01.2019 19:15","63091","67712"
"02.01.2019 19:15 - 02.01.2019 19:30","62438","66793"
"02.01.2019 19:30 - 02.01.2019 19:45","62215","66032"
"02.01.2019 19:45 - 02.01.2019 20:00","61547","65375"
"02.01.2019 20:00 - 02.01.2019 20:15","59969","64225"
"02.01.2019 20:15 - 02.01.2019 20:30","58357","63223"
"02.01.2019 20:30 - 02.01.2019 20:45","57924","62101"
"02.01.2019 20:45 - 02.01.2019 21:00","57328","61330"
"02.01.2019 21:00 - 02.01.2019 21:15","56523","60386"
"02.01.2019 21:15 - 02.01.2019 21:30","55734","59793"
"02.01.2019 21:30 - 02.01.2019 21:45","55824","59206"
"02.01.2019 21:45 - 02.01.2019 22:00","54411","58782"
"02.01.2019 22:00 - 02.01.2019 22:15","54292","58952"
"02.01.2019 22:15 - 02.01.2019 22:30","53474","58184"
"02.01.2019 22:30 - 02.01.2019 22:45","52447","57191"
"02.01.2019 22:45 - 02.01.2019 23:00","51384","56246"
"02.01.2019 23:00 - 02.01.2019 23:15","50138","55550"
"02.01.2019 23:15 - 02.01.2019 23:30","48960","54437"
"02.01.2019 23:30 - 02.01.2019 23:45","48098","53359"
"02.01.2019 23:45 - 03.01.2019 00:00","47114","52491"
"03.01.2019 00:00 - 03.01.2019 00:15","48167","51585"
"03.01.2019 00:15 - 03.01.2019 00:30","48188","51390"
"03.01.2019 00:30 - 03.01.2019 00:45","47837","50933"
"03.01.2019 00:45 - 03.01.2019 01:00","47259","50124"
"03.01.2019 01:00 - 03.01.2019 01:15","46680","50257"
"03.01.2019 01:15 - 03.01.2019 01:30","46148","50073"
"03.01.2019 01:30 - 03.01.2019 01:45","46452","50057"
"03.01.2019 01:45 - 03.01.2019 02:00","45926","49799"
"03.01.2019 02:00 - 03.01.2019 02:15","45638","49745"
"03.01.2019 02:15 - 03.01.2019 02:30","45350","49671"
"03.01.2019 02:30 - 03.01.2019 02:45","45846","49822"
"03.01.2019 02:45 - 03.01.2019 03:00","45832","49768"
"03.01.2019 03:00 - 03.01.2019 03:15","45690","49724"
"03.01.2019 03:15 - 03.01.2019 03:30","45828","49491"
"03.01.2019 03:30 - 03.01.2019 03:45","45948","49569"
"03.01.2019 03:45 - 03.01.2019 04:00","46027","49780"
"03.01.2019 04:00 - 03.01.2019 04:15","46698","49904"
"03.01.2019 04:15 - 03.01.2019 04:30","46506","50148"
"03.01.2019 04:30 - 03.01.2019 04:45","47270","50566"
"03.01.2019 04:45 - 03.01.2019 05:00","47602","51051"
"03.01.2019 05:00 - 03.01.2019 05:15","48599","52080"
"03.01.2019 05:15 - 03.01.2019 05:30","48698","52387"
"03.01.2019 05:30 - 03.01.2019 05:45","49585","53250"
"03.01.2019 05:45 - 03.01.2019 06:00","50358","54370"
"03.01.2019 06:00 - 03.01.2019 06:15","51443","55882"
"03.01.2019 06:15 - 03.01.2019 06:30","52955","57197"
"03.01.2019 06:30 - 03.01.2019 06:45","54322","58554"
"03.01.2019 06:45 - 03.01.2019 07:00","55626","59732"
"03.01.2019 07:00 - 03.01.2019 07:15","57218","60856"
"03.01.2019 07:15 - 03.01.2019 07:30","59077","61711"
"03.01.2019 07:30 - 03.01.2019 07:45","59800","62702"
"03.01.2019 07:45 - 03.01.2019 08:00","60766","63605"
"03.01.2019 08:00 - 03.01.2019 08:15","62003","64146"
"03.01.2019 08:15 - 03.01.2019 08:30","61813","64585"
"03.01.2019 08:30 - 03.01.2019 08:45","62098","65001"
"03.01.2019 08:45 - 03.01.2019 09:00","62291","65470"
"03.01.2019 09:00 - 03.01.2019 09:15","62275","65902"
"03.01.2019 09:15 - 03.01.2019 09:30","63547","66045"
"03.01.2019 09:30 - 03.01.2019 09:45","62864","66206"
"03.01.2019 09:45 - 03.01.2019 10:00","63369","66457"
"03.01.2019 10:00 - 03.01.2019 10:15","63272","66622"
"03.01.2019 10:15 - 03.01.2019 10:30","63513","66647"
"03.01.2019 10:30 - 03.01.2019 10:45","63437","66909"
"03.01.2019 10:45 - 03.01.2019 11:00","63312","67082"
"03.01.2019 11:00 - 03.01.2019 11:15","63951","67514"
"03.01.2019 11:15 - 03.01.2019 11:30","64062","67836"
"03.01.2019 11:30 - 03.01.2019 11:45","64344","68011"
"03.01.2019 11:45 - 03.01.2019 12:00","64453","67901"
"03.01.2019 12:00 - 03.01.2019 12:15","63557","68194"
"03.01.2019 12:15 - 03.01.2019 12:30","63758","67991"
"03.01.2019 12:30 - 03.01.2019 12:45","63575","68011"
"03.01.2019 12:45 - 03.01.2019 13:00","63118","67854"
"03.01.2019 13:00 - 03.01.2019 13:15","63040","67551"
"03.01.2019 13:15 - 03.01.2019 13:30","62545","67037"
"03.01.2019 13:30 - 03.01.2019 13:45","62041","66651"
"03.01.2019 13:45 - 03.01.2019 14:00","61723","66241"
"03.01.2019 14:00 - 03.01.2019 14:15","61556","66181"
"03.01.2019 14:15 - 03.01.2019 14:30","60903","65883"
"03.01.2019 14:30 - 03.01.2019 14:45","61102","65742"
"03.01.2019 14:45 - 03.01.2019 15:00","61601","65464"
"03.01.2019 15:00 - 03.01.2019 15:15","62261","65618"
"03.01.2019 15:15 - 03.01.2019 15:30","61407","65194"
"03.01.2019 15:30 - 03.01.2019 15:45","61545","65012"
"03.01.2019 15:45 - 03.01.2019 16:00","61617","65218"
"03.01.2019 16:00 - 03.01.2019 16:15","62036","65514"
"03.01.2019 16:15 - 03.01.2019 16:30","62932","66018"
"03.01.2019 16:30 - 03.01.2019 16:45","63856","66809"
"03.01.2019 16:45 - 03.01.2019 17:00","64047","67974"
"03.01.2019 17:00 - 03.01.2019 17:15","64725","69104"
"03.01.2019 17:15 - 03.01.2019 17:30","65246","69644"
"03.01.2019 17:30 - 03.01.2019 17:45","65134","69917"
"03.01.2019 17:45 - 03.01.2019 18:00","65753","69997"
"03.01.2019 18:00 - 03.01.2019 18:15","65354","69742"
"03.01.2019 18:15 - 03.01.2019 18:30","65390","69456"
"03.01.2019 18:30 - 03.01.2019 18:45","65429","69162"
"03.01.2019 18:45 - 03.01.2019 19:00","64208","68988"
"03.01.2019 19:00 - 03.01.2019 19:15","63916","68509"
"03.01.2019 19:15 - 03.01.2019 19:30","63504","67669"
"03.01.2019 19:30 - 03.01.2019 19:45","63310","66933"
"03.01.2019 19:45 - 03.01.2019 20:00","62120","66305"
"03.01.2019 20:00 - 03.01.2019 20:15","61241","65238"
"03.01.2019 20:15 - 03.01.2019 20:30","59329","63975"
"03.01.2019 20:30 - 03.01.2019 20:45","59304","63157"
"03.01.2019 20:45 - 03.01.2019 21:00","58658","62298"
"03.01.2019 21:00 - 03.01.2019 21:15","57393","61622"
"03.01.2019 21:15 - 03.01.2019 21:30","56898","61133"
"03.01.2019 21:30 - 03.01.2019 21:45","57269","60146"
"03.01.2019 21:45 - 03.01.2019 22:00","55931","59798"
"03.01.2019 22:00 - 03.01.2019 22:15","55934","59680"
"03.01.2019 22:15 - 03.01.2019 22:30","53703","58927"
"03.01.2019 22:30 - 03.01.2019 22:45","53919","57834"
"03.01.2019 22:45 - 03.01.2019 23:00","52486","57288"
"03.01.2019 23:00 - 03.01.2019 23:15","52536","56453"
"03.01.2019 23:15 - 03.01.2019 23:30","51228","55393"
"03.01.2019 23:30 - 03.01.2019 23:45","49510","54577"
"03.01.2019 23:45 - 04.01.2019 00:00","48894","54014"
"04.01.2019 00:00 - 04.01.2019 00:15","46541","52860"
"04.01.2019 00:15 - 04.01.2019 00:30","46419","52206"
"04.01.2019 00:30 - 04.01.2019 00:45","45802","51657"
"04.01.2019 00:45 - 04.01.2019 01:00","45222","51087"
"04.01.2019 01:00 - 04.01.2019 01:15","44633","50246"
"04.01.2019 01:15 - 04.01.2019 01:30","44267","49960"
"04.01.2019 01:30 - 04.01.2019 01:45","43943","50110"
"04.01.2019 01:45 - 04.01.2019 02:00","43742","49943"
"04.01.2019 02:00 - 04.01.2019 02:15","43470","49510"
"04.01.2019 02:15 - 04.01.2019 02:30","43262","49316"
"04.01.2019 02:30 - 04.01.2019 02:45","43432","49543"
"04.01.2019 02:45 - 04.01.2019 03:00","43454","49661"
"04.01.2019 03:00 - 04.01.2019 03:15","43468","49703"
"04.01.2019 03:15 - 04.01.2019 03:30","43510","49755"
"04.01.2019 03:30 - 04.01.2019 03:45","43672","49879"
"04.01.2019 03:45 - 04.01.2019 04:00","43738","50306"
"04.01.2019 04:00 - 04.01.2019 04:15","44152","50721"
"04.01.2019 04:15 - 04.01.2019 04:30","44399","50742"
"04.01.2019 04:30 - 04.01.2019 04:45","44715","50967"
"04.01.2019 04:45 - 04.01.2019 05:00","45130","51597"
"04.01.2019 05:00 - 04.01.2019 05:15","46100","52634"
"04.01.2019 05:15 - 04.01.2019 05:30","46234","52834"
"04.01.2019 05:30 - 04.01.2019 05:45","47047","53728"
"04.01.2019 05:45 - 04.01.2019 06:00","48090","54710"
"04.01.2019 06:00 - 04.01.2019 06:15","49443","56402"
"04.01.2019 06:15 - 04.01.2019 06:30","51116","57801"
"04.01.2019 06:30 - 04.01.2019 06:45","52461","58871"
"04.01.2019 06:45 - 04.01.2019 07:00","53546","60333"
"04.01.2019 07:00 - 04.01.2019 07:15","54918","62222"
"04.01.2019 07:15 - 04.01.2019 07:30","55631","63354"
"04.01.2019 07:30 - 04.01.2019 07:45","57450","64319"
"04.01.2019 07:45 - 04.01.2019 08:00","58233","65139"
"04.01.2019 08:00 - 04.01.2019 08:15","59070","66277"
"04.01.2019 08:15 - 04.01.2019 08:30","59593","66829"
"04.01.2019 08:30 - 04.01.2019 08:45","59872","67079"
"04.01.2019 08:45 - 04.01.2019 09:00","60150","67499"
"04.01.2019 09:00 - 04.01.2019 09:15","60138","67862"
"04.01.2019 09:15 - 04.01.2019 09:30","60766","68446"
"04.01.2019 09:30 - 04.01.2019 09:45","60685","68876"
"04.01.2019 09:45 - 04.01.2019 10:00","61017","68794"
"04.01.2019 10:00 - 04.01.2019 10:15","61401","68930"
"04.01.2019 10:15 - 04.01.2019 10:30","61662","69100"
